Plant,Number of Uploads,Disease,Detection Count,Average Confidence Score
plantain,1,Sigatoka Leaf Spot,1,0.88
palm,1,Fungal Leaf Spot,1,0.95
Mango,1,Leaf Spot,1,0.80
